quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2015,2015-D,"JAS, & N.N",10-Nov-15,3,40,180,NA,NA,Y,N,31,Peromyscus,truei,37,10,27,adult,lactating,F,NA,97,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y Wang, & B Lehman",4-Feb-11,1,120,100,NA,NA,Y,N,32,Peromyscus,truei,35,9,26,NA,NA,F,NA,93,NA,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,5-May-11,2,140,60,NA,NA,Y,Y,32,Peromyscus,truei,37,9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,60,220,NA,NA,Y,Y,32,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,90,NA,20,17,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TAG RIPPED OUT
summer,2012,2012-C,Justine Smith & Rachel Brown,7-Sep-12,2,60,280,NA,NA,Y,Y,32,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,NA,30-May-12,3,80,260,NA,NA,Y,Y,32,Peromyscus,truei,30,10,20,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",8-Sep-12,3,80,260,NA,NA,Y,Y,32,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Vaughon & Rachel,11-Nov-12,2,80,280,NA,NA,Y,Y,32,Peromyscus,truei,42,10,32,NA,NA,M,NA,101,NA,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; BI-COLORED TAIL
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,200,NA,NA,Y,N,33,Peromyscus,californicus,NA,NA,NA,NA,lactating,F,NA,130,NA,26,15,NA,NA,NA,NA,Y,NA,NA,NA,NA,Weight greater than scale (>50g) so put weight at 55g
fall,2010,2010-D,Graham,5-Nov-10,2,140,160,NA,NA,Y,Y,33,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y Wang, & B Lehman",4-Feb-11,1,160,200,NA,NA,Y,Y,33,Peromyscus,californicus,55,10,45,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Nick T & Ian,5-May-11,2,120,120,NA,NA,Y,Y,33,Peromyscus,californicus,85,32,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,4-May-11,3,80,80,NA,NA,Y,N,34,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,6-May-11,1,80,80,NA,NA,Y,N,34,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,Graham,5-Nov-10,2,180,40,NA,NA,Y,N,35,Peromyscus,truei,31,9,22,NA,NA,M,NA,105,NA,24,17,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA
fall,2010,2010-D,"Tracy, Vicky, Lauren",6-Nov-10,3,180,120,NA,NA,Y,Y,35,Peromyscus,truei,30,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y. Wang, I Caddick, N. Toavney",2-Feb-11,2,180,100,NA,NA,Y,NA,35,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y; TORPOR, TRIED TO WARM LEFT AT 20-80"
summer,2012,2012-C,J. Smith,7-Sep-12,2,180,60,NA,NA,Y,N,35,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,115,NA,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Justine, Rachel, Lee, Merideth, Soren",8-Sep-12,3,180,40,NA,NA,Y,N,35,Peromyscus,truei,14,NA,NA,NA,NA,F,NA,90,NA,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,4-May-11,3,120,60,NA,NA,Y,N,36,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,4-May-11,3,140,60,NA,NA,Y,N,36,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Nick T & Ian,5-May-11,2,40,60,NA,NA,Y,Y,36,NA,NA,62,32,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; NO TRAP
spring,2011,2011-B,Yiwe & Nick T.,6-May-11,1,120,60,NA,NA,N,N,36,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,6-May-11,1,140,60,NA,NA,Y,N,36,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,"Matt, Jessica, Denn",11-Nov-12,2,140,40,NA,NA,Y,Y,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,160,40,NA,NA,Y,Y,36,Peromyscus,truei,30,NA,NA,NA,NA,F,NA,90,NA,21,15,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
spring,2012,2012-B,Chris & Quin,29-May-12,2,160,60,NA,NA,Y,Y,36,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,12-Nov-12,3,160,40,NA,NA,Y,Y,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Y,NA,NA,NA,NA,NA,NA,NA,Y; TICK ABOVE THE EYE
spring,2012,2012-B,Chris & Sam,30-May-12,3,180,40,NA,NA,Y,Y,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
